date,hemispherical,longitude,latitude,region,ndre_karet,lci_karet,ndre_gulma,lci_gulma,severity_level
19/01/22,IMG_3761_2,104.541217,-2.925328,1-bpm24,0.17992853,0.263949,0.23040093,0.3326268,2
19/01/22,IMG_3754_2,104.541035,-2.925307,1-bpm24,0.18694088,0.28294027,0.24165022,0.35336825,3
19/01/22,IMG_3746_2,104.54101,-2.925442,1-bpm24,0.1822724,0.26631823,0.22787352,0.33317667,3
19/01/22,IMG_3737_2,104.541267,-2.925553,1-bpm24,0.18802543,0.27857688,0.23895553,0.34710044,2
19/01/22,IMG_3731_2,104.541405,-2.925567,1-bpm24,0.17824829,0.26671118,0.23221716,0.33707532,2
19/01/22,IMG_3723_2,104.541402,-2.925407,1-bpm24,0.1848016,0.27217284,0.23757765,0.34439534,2
19/01/22,IMG_3718_2,104.541495,-2.925234,1-bpm24,0.18636174,0.27642882,0.239894,0.3433866,2
19/01/22,IMG_3710_2,104.541282,-2.925175,1-bpm24,0.18872286,0.278859,0.23258829,0.33765516,2
19/01/22,IMG_3705_2,104.541057,-2.925138,1-bpm24,0.18119702,0.26651812,0.22496949,0.32949573,3
19/01/22,IMG_3997_1,104.541337,-2.924778,1-bpm24,0.17662786,0.26099095,0.21732432,0.3163529,1
19/01/22,IMG_3992_1,104.541285,-2.924726,1-bpm24,0.17619582,0.25585857,0.21565108,0.313031,2
19/01/22,IMG_3975_1,104.541258,-2.9249,1-bpm24,0.18276742,0.27050224,0.2393565,0.3483707,2
19/01/22,IMG_3966_1,104.541624,-2.924911,1-bpm24,0.19491002,0.28100252,0.25268862,0.36062604,1
19/01/22,IMG_3944_1,104.541769,-2.92494,1-bpm24,0.18868287,0.27277356,0.24325444,0.3430884,1
19/01/22,IMG_3933_1,104.541832,-2.924716,1-bpm24,0.18614078,0.26939118,0.24300209,0.3463738,1
19/01/22,IMG_3911_1,104.541798,-2.924506,1-bpm24,0.18518382,0.2679613,0.23616064,0.33444417,1
19/01/22,IMG_3905_1,104.541543,-2.924376,1-bpm24,0.17226282,0.26044908,0.23015332,0.33295715,1
19/01/22,IMG_3886_1,104.541281,-2.924331,1-bpm24,0.17993672,0.26766944,0.23576827,0.3414781,2
19/01/22,IMG_3542_2,104.520047,-2.950275,1-gt1,0.19986375,0.29384246,0.23888262,0.35329297,1
19/01/22,IMG_3538_2,104.519927,-2.9502,1-gt1,0.2073891,0.30690035,0.24876483,0.36632168,1
19/01/22,IMG_3532_2,104.519775,-2.950285,1-gt1,0.21476565,0.3189746,0.25434065,0.37525102,1
19/01/22,IMG_3530_2,104.519613,-2.95008,1-gt1,0.21521068,0.31943443,0.26422194,0.38624406,2
19/01/22,IMG_3526_2,104.519785,-2.950061,1-gt1,0.21390635,0.31681073,0.2544613,0.372847,2
19/01/22,IMG_3520_2,104.519971,-2.950054,1-gt1,0.2169275,0.31839937,0.26041704,0.3803927,1
