date,hemispherical,longitude,latitude,region,period,ndre,lci,severity_level
19/01/22,IMG_3761_2,104.541217,-2.925328,1-bpm24,1,0.17992853,0.263949,2
19/01/22,IMG_3746_2,104.54101,-2.925442,1-bpm24,1,0.1822724,0.26631823,3
19/01/22,IMG_3737_2,104.541267,-2.925553,1-bpm24,1,0.18802543,0.27857688,2
19/01/22,IMG_3731_2,104.541405,-2.925567,1-bpm24,1,0.17824829,0.26671118,2
19/01/22,IMG_3723_2,104.541402,-2.925407,1-bpm24,1,0.1848016,0.27217284,2
19/01/22,IMG_3718_2,104.541495,-2.925234,1-bpm24,1,0.18636174,0.27642882,2
19/01/22,IMG_3710_2,104.541282,-2.925175,1-bpm24,1,0.18872286,0.278859,2
19/01/22,IMG_3705_2,104.541057,-2.925138,1-bpm24,1,0.18119702,0.26651812,3
19/01/22,IMG_3992_1,104.541285,-2.924726,1-bpm24,1,0.17619582,0.25585857,2
19/01/22,IMG_3975_1,104.541258,-2.9249,1-bpm24,1,0.18276742,0.27050224,2
19/01/22,IMG_3905_1,104.541543,-2.924376,1-bpm24,1,0.17226282,0.26044908,3
19/01/22,IMG_3886_1,104.541281,-2.924331,1-bpm24,1,0.17993672,0.26766944,2
19/01/22,IMG_3538_2,104.519927,-2.9502,1-gt1,1,0.2073891,0.30690035,1
19/01/22,IMG_3532_2,104.519775,-2.950285,1-gt1,1,0.21476565,0.3189746,1
19/01/22,IMG_3520_2,104.519971,-2.950054,1-gt1,1,0.2169275,0.31839937,1
19/01/22,IMG_3511_2,104.51978,-2.949824,1-gt1,1,0.19856447,0.29296565,2
19/01/22,IMG_3505_2,104.518945,-2.949548,1-gt1,1,0.22333643,0.33066922,1
19/01/22,IMG_3499_2,104.518922,-2.949985,1-gt1,1,0.21152249,0.31274408,1
19/01/22,IMG_3488_2,104.518568,-2.949478,1-gt1,1,0.2151156,0.31772196,1
19/01/22,IMG_3486_2,104.518597,-2.949746,1-gt1,1,0.20893325,0.30966955,1
18/01/22,IMG_3625_1,104.519588,-2.950831,1-gt1,1,0.20510362,0.30425236,1
18/01/22,IMG_3618_1,104.519557,-2.950634,1-gt1,1,0.1911302,0.28157687,2
18/01/22,IMG_3609_1,104.519555,-2.950468,1-gt1,1,0.19934927,0.2973217,2
18/01/22,IMG_3581_1,104.519431,-2.950912,1-gt1,1,0.21506958,0.32060716,1
18/01/22,IMG_3574_1,104.519178,-2.950932,1-gt1,1,0.20945099,0.31080556,1
18/01/22,IMG_3566_1,104.519205,-2.950454,1-gt1,1,0.2047901,0.30615664,1
18/01/22,IMG_3557_1,104.519237,-2.950647,1-gt1,1,0.18862575,0.28096622,2
18/01/22,IMG_3554_1,104.518927,-2.950384,1-gt1,1,0.19661637,0.29096988,2
18/01/22,IMG_3543_1,104.518766,-2.95039,1-gt1,1,0.1999718,0.2972679,2
18/01/22,IMG_3535_1,104.518667,-2.950396,1-gt1,1,0.19922125,0.2954659,2
18/01/22,IMG_3528_1,104.51857,-2.950592,1-gt1,1,0.20459299,0.30548677,1
18/01/22,IMG_3520_1,104.518676,-2.9506,1-gt1,1,0.20082645,0.29949337,2
18/01/22,IMG_3501_1,104.518867,-2.95078,1-gt1,1,0.19574134,0.2915467,2
18/01/22,IMG_3491_1,104.518596,-2.950861,1-gt1,1,0.21598579,0.3197584,1
19/01/22,IMG_3616_2,104.509792,-2.954288,1-rric100,1,0.17872965,0.27244335,2
19/01/22,IMG_3580_2,104.509788,-2.954448,1-rric100,1,0.17771296,0.2712115,2
19/01/22,IMG_3574_2,104.5091,-2.954318,1-rric100,1,0.16338597,0.2463082,3
19/01/22,IMG_3566_2,104.508925,-2.954493,1-rric100,1,0.17631613,0.26876426,3
19/01/22,IMG_3553_2,104.508745,-2.954122,1-rric100,1,0.16965602,0.25739682,3
19/01/22,IMG_3550_2,104.508925,-2.954125,1-rric100,1,0.16647582,0.25071868,3
19/01/22,IMG_3546_2,104.509126,-2.954188,1-rric100,1,0.16780233,0.25267318,3
18/01/22,IMG_3637_1,104.510055,-2.953878,1-rric100,1,0.17818494,0.270608,2
18/01/22,IMG_3854_1,104.509887,-2.953816,1-rric100,1,0.1702569,0.2569073,3
18/01/22,IMG_3802_1,104.510113,-2.953418,1-rric100,1,0.16858599,0.25653532,3
18/01/22,IMG_3788_1,104.509915,-2.953475,1-rric100,1,0.16960755,0.25824657,3
18/01/22,IMG_3772_1,104.509824,-2.953389,1-rric100,1,0.16646956,0.25336966,3
18/01/22,IMG_3758_1,104.509104,-2.953331,1-rric100,1,0.15391652,0.23245652,3
18/01/22,IMG_3745_1,104.508971,-2.953331,1-rric100,1,0.15738304,0.23741563,4
18/01/22,IMG_3732_1,104.50881,-2.953392,1-rric100,1,0.15168789,0.2279738,3
18/01/22,IMG_3720_1,104.508835,-2.953555,1-rric100,1,0.1504493,0.22623546,3
